Energy,Entropy,Overlap
-6.661227350133473,2.696500431975716,3.0814879110195774e-33
-6.650836390234423,2.3158517386102915,6.381641281179117e-34
-6.650836390234422,2.26826775445711,1.5169707577587587e-32
-6.645021150481499,2.647302631043086,1.88079096131566e-33
-6.645021150481487,2.635563173341574,1.4745401136714774e-32
-6.637037424850254,1.5323042697022218,7.739341980755193e-58
-6.62261422440129,1.5640641018417285,4.996981754572521e-59
-6.620737590527095,0.9118511098652247,3.5774371066362872e-59
-6.608396308232302,2.476124494582139,3.6412113011071178e-34
-6.6083963082323,2.467087447575461,2.0983308846147096e-35
-6.607257481282404,1.1628306571336133,1.9309009117376653e-59
-6.6058693016041445,2.6389654924277934,2.6731493854083344e-32
-6.605869301604138,2.5792018946580266,9.071623745691226e-32
-6.599179524494348,2.735963068195595,1.069921888502231e-5
-6.59343677147687,2.3999605592982984,9.437056727497456e-33
-6.593436771476869,2.3971017114886517,1.9896429136961547e-32
-6.592876545707471,1.465596703175814,9.419755132877653e-60
-6.58987463544397,2.5684737743199264,1.1209213202887523e-31
-6.589874635443969,2.573961881305051,5.975848876331755e-33
-6.581836541621186,2.7972036998898226,2.9199580600979432e-31
-6.581836541621184,2.799097904494911,1.6618668934185172e-33
-6.579789680842287,2.832472256734034,7.703719777548943e-34
-6.579789680842286,2.835769743488328,3.203387427516233e-30
-6.577535064255827,2.678076641728712,2.3930883265226647e-31
-6.577535064255825,2.6943967069686856,5.4354858782022574e-33
-6.573609572445837,2.48836016358855,2.378789407527751e-31
-6.572680865727858,2.5609982235284887,6.648661363385057e-7
-6.570234818837824,2.741045276860865,1.0280862307545959e-30
-6.570234818837817,2.724251681250241,1.9185948596381048e-33
-6.562629958712137,1.4467692722551475,0.015645937436146732
-6.561018496446863,2.393156051297875,2.784188411150091e-31
-6.56101849644686,2.4154813290837116,2.663388080319106e-33
-6.5582212294903925,2.4511535486723552,3.8086016966642115e-36
-6.558221229490391,2.4545207373546036,6.587493381697375e-31
-6.544316404247558,2.8438326746484397,1.8508186765561337e-31
-6.542591590100952,2.7833671591005777,1.3307724525885084e-32
-6.542591590100951,2.790514545328689,9.470790594179613e-31
-6.530252803926217,2.671628451905086,2.4375050858650954e-34
-6.530252803926215,2.6833549664363288,3.4324404951355414e-30
-6.52744828357023,2.5428157465590617,4.851500894248002e-7
-6.525697663357988,2.818948265240872,1.1991217872738155e-32
-6.5256976633579855,2.8216723804419668,7.52316384526264e-37
-6.51603052509954,2.5228790956591274,2.649976159973964e-31
-6.516030525099534,2.521351797839603,1.5919014696575746e-33
-6.515305529322318,2.1123428506029454,6.952607099237921e-32
-6.515305529322315,2.021071533213534,7.950359181052034e-31
-6.506054359100032,1.3733832984396714,5.959236382160841e-58
-6.500055362387444,2.8590812044874383,8.292332116802292e-32
-6.500055362387441,2.9146963814622056,5.085658759397545e-34
-6.496618533863918,2.271609567429663,2.200780752123089e-6
-6.4965188600500605,2.8463685171563804,4.5665533488826913e-7
-6.495844182762429,2.6482633872084005,1.4631124277905235e-31
-6.486676782559171,2.720612724163874,8.815690413652795e-33
-6.486676782559168,2.6784391430239207,4.066740256104786e-34
-6.47931764034109,2.4805479322159445,2.478299441816032e-32
-6.479317640341089,2.4872496271433655,9.215875710446734e-36
-6.471006099677716,1.5238601637572766,1.408943226370803e-58
-6.4643178011653415,1.6614065715203843,1.6432649718102077e-58
-6.463156731484496,2.8655514438157623,1.7787698066077937e-33
-6.463156731484492,2.861009341309459,4.154667233546293e-34
-6.4626605218750255,2.814716351334178,1.2723668402735522e-33
-6.462660521875025,2.8123296107271023,1.0397720669499339e-32
-6.449062297661134,2.782461838203736,2.602713763907063e-32
-6.44906229766113,2.7709805978647983,4.70197740328915e-36
-6.444789239803034,1.8089910454325955,2.5523708651784445e-59
-6.436710214127774,1.7490935734493924,4.196652005170965e-58
-6.431498682561664,2.668446166476542,1.4564845204428471e-31
-6.431498682561656,2.664289118706526,3.478710962049445e-33
-6.4174586753275875,2.834128053060872,3.6863502841786936e-35
-6.417458675327587,2.83099612330516,2.014750297535368e-33
-6.41142957409747,1.4374436948071498,9.123265905406758e-58
-6.409123398967896,1.9355541118795023,4.345379437023701e-31
-6.409123398967889,1.962650841484872,2.7083389842945504e-35
-6.402577882864582,2.634688721141321,7.346839692639297e-36
-6.4025778828645805,2.637014963420146,3.5385024822040204e-34
-6.393063920390807,1.374792821451725,2.13702841742636e-58
-6.386504474690125,2.7441082853503405,3.954362996166175e-33
-6.386504474690123,2.7263860095627077,7.52316384526264e-35
-6.381058027936878,2.587075450418395,6.093762714662738e-35
-6.3810580279368745,2.5788202118696346,3.009265538105056e-36
-6.378446333413442,2.2602475124577306,1.560003254953661e-32
-6.378446333413437,2.2292263760898514,6.647467573674069e-33
-6.374590399685277,2.5465985782280502,7.499672325345426e-35
-6.374590399685273,2.543245833919332,9.521504241660529e-33
-6.372469777055769,1.5789351281336987,1.40406782206742e-59
-6.359877597517337,2.7169083416167497,9.949384185359841e-33
-6.359877597517335,2.7064377171757483,1.568138851355702e-34
-6.357421999051944,2.4559080778634725,5.6351217368413374e-33
-6.357421999051942,2.468055542546512,9.734268719159363e-35
-6.355663090088383,2.8284584320508848,4.70197740328915e-34
-6.355663090088381,2.8288587938532817,4.009094013140461e-33
-6.353137715219883,2.8800005020987234,2.4442759333258318e-33
-6.353137715219881,2.847780040709002,2.4037683979964957e-34
-6.3421972874328,2.51595970837923,1.2339869497192045e-33
-6.342197287432798,2.502525512508103,2.7721876129983938e-33
-6.339370110583373,2.178033085250905,1.9567749161528127e-33
-6.33937011058337,2.1656539765328415,2.2345677411391357e-33
